City,Country,Latitude,Longitude,Date,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
Atuona,PF,-9.8,-139.03,1586568765,82.45,82.45,75,11.34,84
Kapaa,US,22.08,-159.32,1586568766,76.73,78.8,57,14.99,20
Punta Arenas,CL,-53.15,-70.92,1586568496,37.2,37.4,93,8.05,40
Kunya,NG,12.22,8.53,1586568766,82.4,82.4,26,6.71,97
Saldanha,ZA,-33.01,17.94,1586568766,60.8,60.8,93,3.36,84
Kuching,MY,1.55,110.33,1586568766,80.31,80.6,88,1.12,20
Ushuaia,AR,-54.8,-68.3,1586568629,42.8,42.8,60,3.36,20
Mossamedes,AO,-15.2,12.15,1586568766,75.2,75.2,62,7.63,77
Jamestown,US,42.1,-79.24,1586568551,33.66,39.2,80,8.05,90
Dubbo,AU,-32.25,148.62,1586568767,69.8,69.8,52,19.46,40
Mataura,NZ,-46.19,168.86,1586568765,66.99,66.99,64,3.0,0
Norman Wells,CA,65.28,-126.83,1586568635,30.2,30.2,39,4.7,40
Mar del Plata,AR,-38.0,-57.56,1586568537,57.2,57.2,82,9.17,0
Sokoni,TZ,-6.43,39.55,1586568767,75.2,75.2,94,13.87,75
Saint Paul Harbor,US,57.79,-152.41,1586568768,39.2,39.2,69,8.05,1
Lompoc,US,34.64,-120.46,1586568636,59.88,63.0,82,14.99,20
East London,ZA,-33.02,27.91,1586568768,67.42,67.42,81,7.27,1
Yangi Marg`ilon,UZ,40.43,71.72,1586568768,50.0,50.0,53,2.24,100
Korla,CN,41.76,86.15,1586568769,62.17,62.17,19,5.91,66
Mount Gambier,AU,-37.83,140.77,1586568673,59.0,59.0,51,21.92,40
Torbay,CA,47.67,-52.73,1586568769,34.84,36.0,100,8.05,90
Leningradskiy,RU,69.38,178.42,1586568770,15.46,15.46,89,7.76,92
Ajdabiya,LY,30.76,20.23,1586568771,56.3,56.3,74,7.63,0
Srandakan,ID,-7.94,110.25,1586568771,85.23,85.23,68,2.98,13
Busselton,AU,-33.65,115.33,1586568771,78.98,82.99,33,7.25,51
Bluff,NZ,-46.6,168.33,1586568771,66.99,66.99,64,3.0,1
Kochi,IN,9.94,76.26,1586568771,78.8,78.8,94,4.59,40
The Valley,AI,18.22,-63.06,1586568755,80.53,81.0,78,5.82,20
Rikitea,PF,-23.12,-134.97,1586568773,77.65,77.65,74,9.86,14
Hilo,US,19.73,-155.09,1586568773,69.1,75.2,83,9.17,90
Sinnamary,GF,5.38,-52.95,1586568773,79.36,79.36,82,11.74,95
Pevek,RU,69.7,170.31,1586568773,10.26,10.26,89,20.31,100
Thompson,CA,55.74,-97.86,1586568773,30.2,30.2,58,3.36,90
Albany,US,42.6,-73.97,1586568774,38.41,42.8,52,14.99,40
Mumford,GH,5.26,-0.76,1586568774,80.04,80.04,84,7.43,83
Chicama,PE,-7.84,-79.15,1586568774,75.74,75.74,70,6.33,98
Puerto Ayora,EC,-0.74,-90.35,1586568774,80.83,82.4,74,3.36,20
Sakaiminato,JP,35.55,133.23,1586568775,53.6,53.6,50,3.36,20
Bredasdorp,ZA,-34.53,20.04,1586568778,58.12,59.0,93,1.12,100
Vaini,TO,-21.2,-175.2,1586568778,80.6,80.6,61,8.05,20
Kyshtovka,RU,56.55,76.63,1586568778,36.79,36.79,94,7.4,96
Yulara,AU,-25.24,130.99,1586568778,80.6,80.6,21,3.36,9
Arraial do Cabo,BR,-22.97,-42.03,1586568616,71.6,71.6,88,7.36,75
Anchorage,US,61.22,-149.9,1586568557,37.94,39.99,25,6.93,1
Hermanus,ZA,-34.42,19.23,1586568779,58.46,60.01,97,1.01,99
Visby,SE,57.64,18.3,1586568779,28.38,30.99,86,3.36,0
São Filipe,CV,14.9,-24.5,1586568779,75.15,75.15,73,8.25,76
Bethel,US,41.37,-73.41,1586568780,42.64,46.0,48,12.75,90
Cape Town,ZA,-33.93,18.42,1586568667,61.83,63.0,93,8.05,40
Pemangkat,ID,1.17,108.97,1586568780,82.47,82.47,73,6.06,48
Aklavik,CA,68.22,-135.01,1586568780,23.0,23.0,45,10.29,75
Sørland,NO,67.67,12.69,1586568780,33.89,33.89,82,12.82,100
Hasaki,JP,35.73,140.83,1586568780,56.82,59.0,35,3.36,20
Venezuela,VE,8.0,-66.0,1586568781,90.01,90.01,40,14.7,100
Islamkot,PK,24.7,70.18,1586568781,84.04,84.04,31,4.97,0
Sungai Raya,ID,0.7,108.9,1586568781,87.66,87.66,63,4.07,22
Avarua,CK,-21.21,-159.78,1586568781,84.2,84.2,89,6.93,100
Saskylakh,RU,71.92,114.08,1586568781,30.72,30.72,94,20.65,86
Port Elizabeth,ZA,-33.92,25.57,1586568737,55.4,55.4,100,2.24,7
Thinadhoo,MV,0.53,72.93,1586568666,84.04,84.04,62,3.96,5
Severo-Kuril'sk,RU,50.68,156.12,1586568782,31.59,31.59,94,4.94,52
Souillac,MU,-20.52,57.52,1586568540,77.47,78.01,83,11.41,40
Nanortalik,GL,60.14,-45.24,1586568782,32.27,32.27,90,4.52,100
Portland,US,45.52,-122.68,1586568132,67.12,70.0,46,10.29,20
Meulaboh,ID,4.14,96.13,1586568619,84.97,84.97,68,2.93,80
Khatanga,RU,71.97,102.5,1586568783,26.35,26.35,95,26.62,96
Carnarvon,AU,-24.87,113.63,1586568783,80.6,80.6,74,6.93,32
Blankenberge,BE,51.31,3.13,1586568783,50.16,53.01,70,8.05,22
Grindavik,IS,63.84,-22.43,1586568783,39.97,42.8,93,10.29,90
Sudak,UA,44.85,34.97,1586568783,46.99,46.99,73,10.94,38
Kilindoni,TZ,-7.91,39.67,1586568783,80.98,80.98,83,21.83,100
Dunedin,NZ,-45.87,170.5,1586568783,61.0,61.0,67,8.01,0
Muros,ES,42.78,-9.06,1586568485,53.8,57.99,100,2.48,90
Hobart,AU,-42.88,147.33,1586568784,53.37,55.99,58,17.22,75
Masumbwe,TZ,-3.63,32.18,1586568784,61.99,61.99,68,3.6,67
Morant Bay,JM,17.88,-76.41,1586568784,79.9,82.4,83,11.41,20
Beira,MZ,-19.84,34.84,1586568785,77.0,77.0,73,5.82,40
Naze,JP,28.37,129.48,1586568785,69.8,69.8,56,6.93,75
Codrington,AU,-38.27,141.97,1586568785,56.48,56.48,58,27.25,85
New Norfolk,AU,-42.78,147.06,1586568785,52.68,55.99,58,17.22,75
Tuktoyaktuk,CA,69.45,-133.04,1586568785,12.2,12.2,72,6.93,20
Yamada,JP,39.47,141.95,1586568786,45.05,45.05,57,4.83,38
Griffith,US,41.53,-87.42,1586568787,43.48,46.99,60,3.36,1
Hithadhoo,MV,-0.6,73.08,1586568787,84.69,84.69,63,8.7,16
Qaanaaq,GL,77.48,-69.36,1586568787,4.24,4.24,74,7.7,43
Hua Hin,TH,12.57,99.96,1586568787,86.0,86.0,66,3.36,20
Kīhei,US,20.79,-156.47,1586568660,78.1,82.4,48,16.11,40
Kahului,US,20.89,-156.47,1586568788,78.24,82.4,48,16.11,40
Half Moon Bay,US,37.46,-122.43,1586568789,59.92,64.99,82,11.41,90
Maumere,ID,-8.62,122.21,1586568789,85.06,85.06,64,1.5,55
Caravelas,BR,-17.71,-39.25,1586568789,76.96,76.96,87,10.98,40
Ribeira Grande,PT,38.52,-28.7,1586568608,61.54,61.54,73,4.7,97
Castro,BR,-24.79,-50.01,1586568789,55.53,55.53,72,5.37,42
Nikolskoye,RU,59.7,30.79,1586568789,31.32,32.0,96,8.95,90
Ponta do Sol,PT,32.67,-17.1,1586568538,60.17,64.4,68,9.17,20
Cherkasskoye,RU,52.43,47.22,1586568790,41.16,41.16,63,11.81,100
Lüderitz,NA,-26.65,15.16,1586568790,55.4,55.4,87,4.7,0
Busing,PH,13.15,122.97,1586568790,85.8,85.8,61,2.33,23
Mahébourg,MU,-20.41,57.7,1586568790,77.4,78.01,83,11.41,40
Saint Anthony,US,45.02,-93.22,1586568791,43.65,46.99,31,3.36,1
Port Alfred,ZA,-33.59,26.89,1586568791,64.45,64.45,87,6.2,13
Chipinge,ZW,-20.19,32.62,1586568791,54.55,54.55,69,1.45,96
Saint-Joseph,RE,-21.37,55.62,1586568791,69.03,77.0,78,10.29,20
Samarai,PG,-10.62,150.67,1586568791,83.8,83.8,68,8.23,17
Sobolevo,RU,54.43,31.9,1586568791,35.71,35.71,78,6.04,99
Zhuhai,CN,22.28,113.57,1586568792,72.9,75.99,100,3.36,40
Grand Gaube,MU,-20.01,57.66,1586568792,77.63,78.01,83,11.41,40
Kulhudhuffushi,MV,6.62,73.07,1586568648,84.69,84.69,66,5.93,25
Agadez,NE,19.75,10.25,1586568792,73.98,73.98,17,7.31,95
Port Lincoln,AU,-34.73,135.87,1586568690,62.37,62.37,63,15.9,70
Obo,CF,5.4,26.49,1586568793,69.67,69.67,78,4.74,100
Tasiilaq,GL,65.61,-37.64,1586568793,23.0,23.0,53,4.18,99
Ramsar,IR,36.92,50.64,1586568793,48.2,48.2,93,4.7,90
Isangel,VU,-19.55,169.27,1586568722,80.6,80.6,74,4.7,75
Provideniya,RU,64.38,-173.3,1586568794,15.37,15.37,94,13.49,100
Lavrentiya,RU,65.58,-171.0,1586568794,15.85,15.85,95,8.75,98
Geraldton,AU,-28.77,114.6,1586568794,84.02,87.01,34,5.82,97
Voyvozh,RU,62.89,54.96,1586568794,23.9,23.9,95,6.91,100
Annau,TM,37.89,58.52,1586568794,46.4,46.4,93,5.28,75
Yeppoon,AU,-23.13,150.73,1586568795,82.4,82.4,61,8.05,40
Cabo San Lucas,MX,22.89,-109.91,1586568795,70.25,73.0,60,11.41,75
Vostok,RU,46.49,135.88,1586568795,38.86,38.86,49,6.22,44
Nabire,ID,-3.37,135.48,1586568795,88.79,88.79,60,4.85,51
Lorengau,PG,-2.02,147.27,1586568796,83.93,83.93,73,3.85,65
Saint-Philippe,RE,-21.36,55.77,1586568611,69.15,77.0,78,10.29,20
Pulandian,CN,39.4,121.97,1586568796,57.2,57.2,33,4.47,0
Banda Aceh,ID,5.56,95.32,1586568620,85.55,85.55,69,7.94,28
Luganville,VU,-15.53,167.17,1586568796,84.2,84.2,62,3.36,20
Goroka,PG,-6.08,145.39,1586568796,77.05,77.05,41,0.78,55
Bengkulu,ID,-3.8,102.27,1586568559,78.33,78.33,77,4.09,98
Aksarka,RU,66.56,67.8,1586568797,25.99,25.99,98,11.88,100
Tolaga Bay,NZ,-38.37,178.3,1586568798,63.0,63.0,66,5.01,89
Qianjiang,CN,30.42,112.89,1586568798,52.23,52.23,72,17.96,100
Jiazi,CN,22.88,116.07,1586568798,75.38,75.38,74,4.36,73
Zhigansk,RU,66.77,123.37,1586568799,30.4,30.4,95,15.93,33
Faanui,PF,-16.48,-151.75,1586568800,83.64,83.64,70,5.82,94
Fairbanks,US,64.84,-147.72,1586568632,32.97,37.4,86,6.51,90
Doha,QA,25.29,51.53,1586568736,90.63,91.4,19,17.22,100
Emerald,AU,-23.53,148.17,1586568800,86.0,86.0,48,8.05,73
Tilichiki,RU,60.47,166.1,1586568594,12.07,12.07,92,5.79,1
Gijang,KR,35.24,129.21,1586568602,53.6,53.6,50,2.24,75
Namatanai,PG,-3.67,152.43,1586568801,84.76,84.76,69,5.3,56
Sittwe,MM,20.15,92.9,1586568801,84.24,84.24,64,2.77,69
Tamala,RU,52.54,43.25,1586568801,39.04,39.04,88,14.74,100
Taoudenni,ML,22.68,-3.98,1586568801,80.58,80.58,14,6.33,0
Yellowknife,CA,62.46,-114.35,1586568801,19.24,19.4,62,13.87,90
Yelniki,RU,54.62,43.88,1586568801,36.79,36.79,82,6.42,100
Kamenka,RU,51.32,42.77,1586568801,44.55,46.99,62,5.99,92
Otradnoye,RU,59.78,30.82,1586568594,31.32,32.0,95,8.95,90
La Ronge,CA,55.1,-105.28,1586568548,28.4,28.4,58,18.34,40
Kumul,CN,42.8,93.45,1586568802,64.08,64.08,15,3.2,44
Lata,PT,40.16,-8.33,1586568802,55.72,57.99,87,5.82,75
Khāsh,IR,28.22,61.22,1586568803,70.77,70.77,27,3.2,99
Vanimo,PG,-2.67,141.3,1586568803,85.6,85.6,68,6.76,100
Airai,TL,-8.93,125.41,1586568804,67.87,67.87,65,1.12,58
Fortuna,US,40.6,-124.16,1586568686,54.05,61.0,87,7.38,90
Kemijärvi,FI,66.71,27.43,1586568805,12.96,12.96,92,3.18,9
Cap-Chat,CA,49.1,-66.68,1586568805,32.25,32.25,96,19.84,100
Cacoal,BR,-11.44,-61.45,1586568806,72.95,72.95,89,0.36,36
Skjervøy,NO,70.03,20.97,1586568806,30.58,30.58,96,22.75,100
Salacgrīva,LV,57.75,24.36,1586568806,33.01,33.01,79,1.99,0
Mirebalais,HT,18.83,-72.11,1586568806,82.4,82.4,78,5.82,43
Los Llanos de Aridane,ES,28.66,-17.92,1586568806,69.8,69.8,73,6.93,90
Shebunino,RU,46.43,141.86,1586568807,35.37,35.37,83,2.71,93
Dikson,RU,73.51,80.55,1586568807,10.15,10.15,95,11.01,91
Abonnema,NG,4.71,6.79,1586568807,79.12,79.12,86,2.35,65
Boyolangu,ID,-8.12,111.89,1586568807,85.78,85.78,65,5.95,4
Flinders,AU,-34.58,150.86,1586568808,73.6,75.0,33,21.92,55
Jiangkou,CN,25.49,119.2,1586568808,62.6,62.6,93,6.71,75
Seybaplaya,MX,19.65,-90.67,1586568808,81.59,81.59,60,11.72,22
Senneterre,CA,48.38,-77.23,1586568808,28.4,28.4,86,6.93,90
Onega,RU,63.91,38.14,1586568808,27.28,27.28,93,6.26,100
Salalah,OM,17.02,54.09,1586568808,80.6,80.6,78,3.36,40
Sfântu Gheorghe,RO,45.87,25.78,1586568720,39.63,42.01,49,5.01,53
Riyadh,SA,24.69,46.72,1586568786,80.6,80.6,28,4.7,40
Ohrid,MK,41.12,20.8,1586568809,47.89,47.89,45,3.18,0
Magadan,RU,59.57,150.8,1586568809,23.45,23.45,92,5.39,12
Talnakh,RU,69.49,88.4,1586568809,19.4,19.4,85,22.37,75
George Town,MY,5.41,100.34,1586568739,83.05,84.2,74,8.05,20
Baharly,TM,38.44,57.43,1586568809,56.91,56.91,58,3.04,83
Umluj,SA,25.02,37.27,1586568810,68.95,68.95,46,12.1,34
Inírida,CO,3.87,-67.92,1586568810,71.65,71.65,95,2.04,100
Bajil,YE,15.06,43.29,1586568810,79.5,79.5,67,1.34,4
Priiskovyy,RU,51.93,116.63,1586568810,55.13,55.13,29,4.68,0
Chokurdakh,RU,70.63,147.92,1586568810,24.96,24.96,96,15.99,39
Henties Bay,NA,-22.12,14.28,1586568810,74.32,74.32,50,4.88,28
Bealanana,MG,-14.55,48.73,1586568811,61.97,61.97,69,4.92,17
Severo-Yeniseyskiy,RU,60.37,93.04,1586568811,30.6,30.6,83,8.01,100
Villanueva,HN,15.32,-88.0,1586568811,82.4,82.4,83,1.83,40
Hamilton,US,39.18,-84.53,1586568732,40.8,45.0,48,3.36,1
Buchanan,LR,5.88,-10.05,1586568811,78.22,78.22,85,2.26,92
Kruisfontein,ZA,-34.0,24.73,1586568812,56.91,56.91,52,5.3,25
San Patricio,MX,19.22,-104.7,1586568813,78.8,78.8,78,12.84,5
Cherskiy,RU,68.75,161.3,1586568813,15.91,15.91,95,18.45,100
Champasak,LA,14.75,106.0,1586568813,84.2,84.2,70,2.24,40
Bonavista,CA,48.65,-53.11,1586568813,34.0,34.0,84,14.88,72
Baykalovo,RU,57.4,63.77,1586568813,38.71,38.71,74,12.19,0
San Francisco,US,37.77,-122.42,1586568669,60.06,66.2,67,19.46,40
Cidreira,BR,-30.18,-50.21,1586568814,62.73,62.73,82,4.36,7
Tukums,LV,56.97,23.16,1586568814,37.4,37.4,74,5.82,0
Ginir,ET,7.13,40.7,1586568814,58.44,58.44,54,3.27,30
Arbazh,RU,57.68,48.31,1586568814,34.54,34.54,87,3.67,100
Port Shepstone,ZA,-30.74,30.45,1586568814,70.77,70.77,71,8.99,98
Sokolo,ML,14.73,-6.12,1586568814,83.07,83.07,20,6.71,51
Khomutovka,RU,51.92,34.56,1586568611,35.28,35.28,77,8.63,51
Butaritari,KI,3.07,172.79,1586568815,84.7,84.7,73,8.63,60
Waipawa,NZ,-41.41,175.52,1586568815,62.01,64.4,63,24.16,0
Soyo,AO,-6.13,12.37,1586568816,78.35,78.35,88,6.31,89
Barrow,US,71.29,-156.79,1586568817,-0.4,-0.4,70,9.17,90
Longyearbyen,SJ,78.22,15.64,1586568817,-7.6,-7.6,76,3.36,20
Kirakira,SB,-10.45,161.92,1586568817,85.8,85.8,63,7.78,99
Katsuura,JP,35.13,140.3,1586568817,56.12,57.99,43,10.29,40
Lodja,CD,-3.48,23.43,1586568818,69.67,69.67,85,1.92,90
Along,IN,28.17,94.77,1586568613,81.34,81.34,29,1.03,0
Hobyo,SO,5.35,48.53,1586568819,82.44,82.44,66,7.78,51
Bjørnevatn,NO,69.67,29.98,1586568819,21.2,21.2,85,16.11,98
Minden,DE,52.28,8.92,1586568819,38.86,41.0,88,3.47,99
Montepuez,MZ,-13.13,39.0,1586568819,65.55,65.55,85,9.1,42
Belle Glade,US,26.68,-80.67,1586568820,74.17,79.0,100,3.36,90
Fenoarivo,MG,-18.93,47.44,1586568820,60.8,60.8,82,9.17,20
Abnūb,EG,27.27,31.15,1586568820,57.2,57.2,54,11.41,0
Villa Corzo,MX,16.17,-93.25,1586568820,93.2,93.2,26,14.99,90
Pasni,PK,25.26,63.47,1586568820,80.49,80.49,58,4.76,17
Vao,NC,-22.67,167.48,1586568821,74.26,74.26,73,9.98,99
Chui,UY,-33.7,-53.46,1586568546,61.65,61.65,83,6.62,0
Conceição do Araguaia,BR,-8.26,-49.26,1586568821,75.49,75.49,85,0.74,61
Tynda,RU,55.17,124.72,1586568821,42.21,42.21,60,4.76,61
Kapenguria,KE,1.25,35.09,1586568821,57.18,57.18,46,1.68,98
São João da Barra,BR,-21.64,-41.05,1586568612,71.67,71.67,82,2.08,100
Saint-Pierre,RE,-21.34,55.48,1586568822,69.87,77.0,78,10.29,20
Wau,SS,7.7,28.0,1586568823,78.96,78.96,64,2.62,96
Thunder Bay,CA,48.4,-89.32,1586568823,33.71,35.6,59,2.24,75
Uray,RU,60.12,64.78,1586568824,38.01,38.01,86,11.3,87
Kaitangata,NZ,-46.28,169.85,1586568824,63.21,63.21,52,5.35,0
Eilat,IL,29.56,34.95,1586568824,62.6,62.6,48,9.17,40
San Quintín,MX,30.48,-115.95,1586568824,58.82,58.82,73,7.7,99
Hūn,LY,29.13,15.95,1586568826,57.42,57.42,44,8.32,71
Benjamín Aceval,PY,-24.97,-57.57,1586568735,68.0,68.0,56,5.82,0
Saint George,US,37.1,-113.58,1586568604,61.84,63.0,38,19.46,1
Okha,RU,53.57,142.95,1586568826,32.31,32.31,92,7.34,0
Hong Kong,HK,22.29,114.16,1586568750,72.34,75.99,83,8.05,40
Moose Factory,CA,51.26,-80.61,1586568827,28.4,28.4,86,6.93,90
Coahuayana Viejo,MX,18.73,-103.68,1586568828,75.27,75.27,61,3.89,0
San Cristobal,VE,7.77,-72.22,1586568828,69.01,69.01,62,2.08,69
Agua Verde,MX,22.9,-106.05,1586568828,75.09,77.0,53,10.29,90
Mount Isa,AU,-20.73,139.5,1586568828,84.2,84.2,20,11.41,57
Tiksi,RU,71.69,128.87,1586568828,25.56,25.56,93,33.26,89
Uruaçu,BR,-14.52,-49.14,1586568828,71.44,71.44,80,2.95,10
Kwang Binh,VN,17.48,106.6,1586568828,84.02,84.02,71,5.46,91
Srednekolymsk,RU,67.45,153.68,1586568829,29.7,29.7,98,6.96,100
Coquimbo,CL,-29.95,-71.34,1586568829,60.8,60.8,67,4.7,77
Kishapu,TZ,-3.62,33.87,1586568829,62.55,62.55,66,6.33,57
Karnobat,BG,42.65,26.98,1586568829,51.96,53.6,54,4.7,0
Dauriya,RU,49.93,116.87,1586568829,57.99,57.99,22,12.71,0
El Fuerte,MX,26.42,-108.62,1586568829,72.45,72.45,28,5.14,5
Kalāleh,IR,37.38,55.49,1586568829,50.0,50.0,87,4.7,13
Fukuechō,JP,32.69,128.84,1586568829,59.0,59.0,54,8.05,89
Ivdel',RU,60.69,60.42,1586568830,40.98,40.98,80,10.85,100
Kargopol',RU,61.51,38.95,1586568830,23.65,23.65,94,2.44,95
Copiapó,CL,-27.37,-70.33,1586568830,60.8,60.8,82,6.93,38
Nome,US,64.5,-165.41,1586568786,31.08,32.0,92,9.17,90
Luanda,AO,-8.84,13.23,1586568830,78.8,78.8,94,3.36,75
Fuxin,CN,42.02,121.66,1586568830,63.57,63.57,23,14.38,0
Mayya,RU,61.73,130.28,1586568831,39.2,39.2,44,20.13,3
Marzuq,YE,14.4,46.47,1586568831,68.4,68.4,36,3.89,0
Ilulissat,GL,69.22,-51.1,1586568831,30.2,30.2,58,3.36,61
Krasnyy Chikoy,RU,50.36,108.75,1586568831,58.14,58.14,24,4.5,0
Kiama,AU,-34.68,150.87,1586568831,73.22,75.0,33,21.92,52
Husavik,IS,66.04,-17.34,1586568831,30.2,30.2,100,3.36,90
Hervey Bay,AU,-25.3,152.85,1586568832,84.27,84.99,61,9.17,90
Esperance,AU,-33.87,121.9,1586568832,68.0,68.0,68,8.05,27
Amuntai,ID,-2.42,115.25,1586568590,78.04,78.04,93,1.72,70
Andenes,NO,69.31,16.12,1586568832,27.28,30.2,74,11.41,100
Nong Ki,TH,14.69,102.54,1586568832,86.14,91.99,78,4.7,99
Kibala,TD,9.11,18.35,1586568832,89.6,89.6,46,3.31,20
Safaga,EG,26.73,33.94,1586568833,66.2,66.2,29,10.29,0
Bouca,CF,6.51,18.27,1586568833,72.82,72.82,77,4.18,97
Makaha,US,21.47,-158.22,1586568833,79.86,82.4,64,9.17,75
Sadovoye,RU,47.78,44.51,1586568597,42.53,42.53,64,10.42,35
Clyde River,CA,70.47,-68.59,1586568833,5.0,5.0,92,17.22,40
Daru,PG,-9.08,143.21,1586568834,84.31,84.31,73,8.81,50
Port-Gentil,GA,-0.72,8.78,1586568834,81.54,81.54,83,12.53,100
Constitución,CL,-35.33,-72.42,1586568834,54.81,54.81,89,8.86,100
Belmonte,BR,-15.86,-38.88,1586568580,75.2,75.2,94,3.36,90
Xichang,CN,27.9,102.26,1586568834,65.91,65.91,32,3.71,59
Barra Patuca,HN,15.8,-84.28,1586568834,79.93,79.93,82,14.76,0
